text,category
Proxy blocking git clone please help,Network
Subscription renewal failed please help,Billing
Forgot password; need reset,Access
Excel formulas not recalculating,Software
Unable to connect to printer over network please help,Network
High latency on office network,Network
Request access to Jira project,Access
Mouse not detected via USB please help,Hardware
Request access to Jira project,Access
Need to be added to devops group,Access
Printer paper jam error repeatedly,Hardware
Tax calculation seems incorrect,Billing
Payment charged twice on card please help,Billing
Proxy blocking git clone,Network
Jira ticket creation failing with 500,Software
Need to be added to devops group please help,Access
Access revoked unexpectedly,Access
Packet loss on wired connection,Network
SSO login failing for Figma,Access
Chrome keeps freezing on startup,Software
Need permission to shared drive Finance please help,Access
Need invoice copy for april,Billing
SSD making clicking noise,Hardware
Refund not processed yet,Billing
Requesting admin rights for software install,Access
VPN disconnects after login,Network
Webcam not turning on,Hardware
Proxy blocking git clone,Network
Can't reach internal sites over VPN,Network
Slack notifications delayed,Software
Outlook not syncing emails,Software
Payment charged twice on card,Billing
Purchase order status not updated,Billing
Webcam not turning on,Hardware
Headset audio cutting out,Hardware
Can't reach internal sites over VPN,Network
Laptop battery drains quickly,Hardware
Unable to connect to printer over network please help,Network
Need invoice copy for April,Billing
Account locked after too many attempts,Access
Credit card declined for corporate plan please help,Billing
Outlook not syncing emails please help,Software
Packet loss on wired connection,Network
Laptop overheating during normal use,Hardware
DNS lookup failing for internal domains,Network
Refund not processed yet please help,Billing
Zoom microphone not detected,Software
Access revoked unexpectedly,Access
Request access to GitLab project,Access
Need permission to shared drive hr please help,Access
Sso login failing for jenkins please help,Access
VPN disconnects after login please help,Network
Laptop battery drains quickly,Hardware
Docking station not charging please help,Hardware
Wi-Fi shows connected but no internet,Network
DNS lookup failing for internal domains,Network
Tax calculation seems incorrect,Billing
Can't reach internal sites over vpn please help,Network
Need to be added to analytics group,Access
Chrome keeps freezing on startup,Software
Jira ticket creation failing with 500,Software
PowerPoint keeps crashing while saving,Software
Powerpoint keeps crashing while saving,Software
High latency on office network,Network
Laptop battery drains quickly,Hardware
Purchase order status not updated please help,Billing
Excel formulas not recalculating,Software
DNS lookup failing for internal domains,Network
VPN disconnects after login please help,Network
Teams call drops frequently,Network
Need permission to shared drive Marketing,Access
Credit card declined for corporate plan,Billing
Vs code extension install error please help,Software
Laptop keyboard not working,Hardware
Wi-Fi shows connected but no internet,Network
Can't reach internal sites over VPN please help,Network
Teams crashes when joining meeting please help,Software
Need to be added to devops group,Access
Expense reimbursement pending too long,Billing
Webcam not turning on,Hardware
Webcam not turning on,Hardware
VS Code extension install error,Software
Credit card declined for corporate plan,Billing
Mouse not detected via USB,Hardware
Slack notifications delayed,Software
Forgot password; need reset,Access
Can't reach internal sites over VPN,Network
Jira ticket creation failing with 500,Software
VS Code extension install error please help,Software
Subscription renewal failed please help,Billing
GitLab license not recognized after update,Software
Dns lookup failing for internal domains,Network
Need to be added to engineering group,Access
Teams call drops frequently,Network
Access revoked unexpectedly please help,Access
